name,yahoo_symbol,exchange
Dhampur Bio Organics Limited,DBOL.NS,NSE
Valor Estate Limited,DBREALTY.NS,NSE
DB (International) Stock Brokers Limited,DBSTOCKBRO.NS,NSE
Dishman Carbogen Amcis Limited,DCAL.NS,NSE
DCB Bank Limited,DCBBANK.NS,NSE
Dc Infotech And Communication Limited,DCI.NS,NSE
DCM  Limited,DCM.NS,NSE
DCM Financial Services Limited,DCMFINSERV.NS,NSE
DCM Nouvelle Limited,DCMNVL.NS,NSE
DCM Shriram Limited,DCMSHRIRAM.NS,NSE
DCM Shriram Industries Limited,DCMSRIND.NS,NSE
DCW Limited,DCW.NS,NSE
DCX Systems Limited,DCXINDIA.NS,NSE
Ddev Plastiks Industries Limited,DDEVPLSTIK.NS,NSE
Deccan Cements Limited,DECCANCE.NS,NSE
DEE Development Engineers Limited,DEEDEV.NS,NSE
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT.NS,NSE
Deepak Nitrite Limited,DEEPAKNTR.NS,NSE
Deep Industries Limited,DEEPINDS.NS,NSE
Delhivery Limited,DELHIVERY.NS,NSE
DELPHI WORLD MONEY LIMITED,DELPHIFX.NS,NSE
Delta Corp Limited,DELTACORP.NS,NSE
Delta Manufacturing Limited,DELTAMAGNT.NS,NSE
Den Networks Limited,DEN.NS,NSE
De Nora India Limited,DENORA.NS,NSE
Denta Water and Infra Solutions Limited,DENTA.NS,NSE
Dev Information Technology Limited,DEVIT.NS,NSE
Dev Accelerator Limited,DEVX.NS,NSE
Devyani International Limited,DEVYANI.NS,NSE
Digicontent Limited,DGCONTENT.NS,NSE
Dhampur Sugar Mills Limited,DHAMPURSUG.NS,NSE
Dhanlaxmi Bank Limited,DHANBANK.NS,NSE
Dhanuka Agritech Limited,DHANUKA.NS,NSE
DHARAN INFRA-EPC LIMITED,DHARAN.NS,NSE
Dharmaj Crop Guard Limited,DHARMAJ.NS,NSE
Dhruv Consultancy Services Limited,DHRUV.NS,NSE
Dhunseri Investments Limited,DHUNINV.NS,NSE
Diamond Power Infrastructure Limited,DIACABS.NS,NSE
Diamines & Chemicals Limited,DIAMINESQ.NS,NSE
Prataap Snacks Limited,DIAMONDYD.NS,NSE
DIC India Limited,DICIND.NS,NSE
Diffusion Engineers Limited,DIFFNKG.NS,NSE
Digidrive Distributors Limited,DIGIDRIVE.NS,NSE
DiGiSPICE Technologies Limited,DIGISPICE.NS,NSE
Digitide Solutions Limited,DIGITIDE.NS,NSE
Digjam Limited,DIGJAMLMTD.NS,NSE
Debock Industries Limited,DIL.NS,NSE
Dish TV India Limited,DISHTV.NS,NSE
